Region,Parameter,Unit,Range,Value
Amherst,Cold Days (Tmax < -10),Days,2080s,2.9
Amherst,Cold Days (Tmax < -10),Days,2050s,4.9
Amherst,Cold Days (Tmax < -10),Days,2020s,7
Amherst,Cold Days (Tmax < -10),Days,1980s,8.4
Amherst,Hot Days (Tmax > 30),Days,1980s,0.6
Amherst,Hot Days (Tmax > 30),Days,2020s,2.7
Amherst,Hot Days (Tmax > 30),Days,2050s,6.8
Amherst,Hot Days (Tmax > 30),Days,2080s,14.6
Amherst,Precipitation - Annual,mm,1980s,1174.8
Amherst,Precipitation - Annual,mm,2020s,1207.1
Amherst,Precipitation - Annual,mm,2050s,1217.1
Amherst,Precipitation - Annual,mm,2080s,1253.2
Amherst,Precipitation - Autumn,mm,1980s,307.7
Amherst,Precipitation - Autumn,mm,2050s,311
Amherst,Precipitation - Autumn,mm,2020s,311.4
Amherst,Precipitation - Autumn,mm,2080s,318
Amherst,Precipitation - Spring,mm,1980s,285
Amherst,Precipitation - Spring,mm,2020s,294.4
Amherst,Precipitation - Spring,mm,2050s,298.7
Amherst,Precipitation - Spring,mm,2080s,310.4
Amherst,Precipitation - Summer,mm,1980s,262.5
Amherst,Precipitation - Summer,mm,2050s,266
Amherst,Precipitation - Summer,mm,2080s,266.4
Amherst,Precipitation - Summer,mm,2020s,266.9
Amherst,Precipitation - Winter,mm,1980s,319.6
Amherst,Precipitation - Winter,mm,2020s,335.2
Amherst,Precipitation - Winter,mm,2050s,343.2
Amherst,Precipitation - Winter,mm,2080s,361.9
Amherst,Temperature - Annual,°C,1980s,5.8
Amherst,Temperature - Annual,°C,2020s,6.9
Amherst,Temperature - Annual,°C,2050s,8.2
Amherst,Temperature - Annual,°C,2080s,9.4
Amherst,Temperature - Autumn ,°C,1980s,8.2
Amherst,Temperature - Autumn ,°C,2020s,9.3
Amherst,Temperature - Autumn ,°C,2050s,10.5
Amherst,Temperature - Autumn ,°C,2080s,11.8
Amherst,Temperature - Spring ,°C,1980s,3.9
Amherst,Temperature - Spring ,°C,2020s,5
Amherst,Temperature - Spring ,°C,2050s,6.1
Amherst,Temperature - Spring ,°C,2080s,7.2
Amherst,Temperature - Summer ,°C,1980s,17.1
Amherst,Temperature - Summer ,°C,2020s,18.2
Amherst,Temperature - Summer ,°C,2050s,19.3
Amherst,Temperature - Summer ,°C,2080s,20.5
Amherst,Temperature - Winter,°C,1980s,-6
Amherst,Temperature - Winter,°C,2020s,-4.7
Amherst,Temperature - Winter,°C,2050s,-3.3
Amherst,Temperature - Winter,°C,2080s,-1.9
Amherst,Water Deficit ,mm,1980s,43
Amherst,Water Deficit ,mm,2020s,47.9
Amherst,Water Deficit ,mm,2050s,57.6
Amherst,Water Deficit ,mm,2080s,68.1
Amherst,Water Surplus,mm,2050s,688.7
Amherst,Water Surplus,mm,2020s,689.3
Amherst,Water Surplus,mm,2080s,694.9
Amherst,Water Surplus,mm,1980s,708.3
Annapolis,Cold Days (Tmax < -10),Days,2080s,0.3
